GAME DATE,AWAY TEAM,HOME TEAM
11/10/2012,LOUISVILLE,SYRACUSE
11/10/2012,MARSHALL,UAB
11/10/2012,MARYLAND,CLEMSON
11/10/2012,MASSACHUSETTS,AKRON
11/10/2012,MCNEESE STATE,TEXAS-SAN ANTONIO
11/10/2012,MIAMI FL,VIRGINIA
11/10/2012,MINNESOTA,ILLINOIS
11/10/2012,MISSISSIPPI STATE,LSU
11/10/2012,MISSOURI,TENNESSEE
11/10/2012,NAVY,TROY
11/10/2012,NORTHWESTERN,MICHIGAN
11/10/2012,NOTRE DAME,BOSTON COLLEGE
11/10/2012,OREGON,CALIFORNIA
11/10/2012,OREGON STATE,STANFORD
11/10/2012,PENN STATE,NEBRASKA
11/10/2012,PURDUE,IOWA
11/10/2012,SAN JOSE STATE,NEW MEXICO STATE
11/10/2012,Southern Miss,Southern Methodist
11/10/2012,SOUTH ALABAMA,NORTH TEXAS
11/10/2012,TEXAS A&M,ALABAMA
11/10/2012,TULANE,MEMPHIS
11/10/2012,TULSA,HOUSTON
11/10/2012,UCLA,WASHINGTON STATE
11/10/2012,Louisiana-Lafayette,FLORIDA
11/10/2012,UNLV,COLORADO STATE
11/10/2012,UTAH,WASHINGTON
11/10/2012,VANDERBILT,Ole Miss
11/10/2012,WAKE FOREST,NORTH CAROLINA STATE
11/10/2012,WEST VIRGINIA,OKLAHOMA STATE
11/10/2012,WESTERN MICHIGAN,BUFFALO
11/10/2012,WISCONSIN,INDIANA
11/10/2012,WYOMING,NEW MEXICO
11/14/2012,OHIO,BALL STATE
11/14/2012,TOLEDO,NORTHERN ILLINOIS
11/15/2012,NORTH CAROLINA,VIRGINIA
11/16/2012,FLORIDA INTERNATIONAL,FLORIDA ATLANTIC
11/16/2012,HAWAII,AIR FORCE
11/17/2012,ALABAMA A&M,AUBURN
11/17/2012,ARIZONA,UTAH
11/17/2012,ARKANSAS,MISSISSIPPI STATE
11/17/2012,ARKANSAS STATE,TROY
11/17/2012,BUFFALO,MASSACHUSETTS
11/17/2012,Brigham Young,SAN JOSE STATE
11/17/2012,CALIFORNIA,OREGON STATE
11/17/2012,Central Florida,TULSA
11/17/2012,COLORADO STATE,BOISE STATE
11/17/2012,DUKE,GEORGIA TECH
11/17/2012,EAST CAROLINA,TULANE
11/17/2012,EASTERN MICHIGAN,WESTERN MICHIGAN
11/17/2012,FLORIDA STATE,MARYLAND
11/17/2012,GEORGIA SOUTHERN,GEORGIA
11/17/2012,HOUSTON,MARSHALL
11/17/2012,INDIANA,PENN STATE
11/17/2012,IOWA,MICHIGAN
11/17/2012,IOWA STATE,KANSAS
11/17/2012,JACKSONVILLE STATE,FLORIDA
11/17/2012,KANSAS STATE,BAYLOR
11/17/2012,KENT STATE,BOWLING GREEN
11/17/2012,MEMPHIS,UAB
11/17/2012,MIAMI OH,CENTRAL MICHIGAN
11/17/2012,Middle Tennessee,SOUTH ALABAMA
11/17/2012,MINNESOTA,NEBRASKA
11/17/2012,Ole Miss,LSU
11/17/2012,NEVADA,NEW MEXICO
11/17/2012,NORTH CAROLINA STATE,CLEMSON
11/17/2012,NORTH TEXAS,Louisiana-Monroe
11/17/2012,NORTHWESTERN,MICHIGAN STATE
11/17/2012,OHIO STATE,WISCONSIN
11/17/2012,OKLAHOMA,WEST VIRGINIA
11/17/2012,PURDUE,ILLINOIS
11/17/2012,RUTGERS,CINCINNATI
11/17/2012,SAM HOUSTON STATE,TEXAS A&M
11/17/2012,SAMFORD,KENTUCKY
11/17/2012,Southern Methodist,RICE
11/17/2012,SOUTH FLORIDA,MIAMI FL
11/17/2012,STANFORD,OREGON
11/17/2012,SYRACUSE,MISSOURI
11/17/2012,TEMPLE,ARMY
11/17/2012,TENNESSEE,VANDERBILT
11/17/2012,TEXAS-SAN ANTONIO,IDAHO
11/17/2012,TEXAS STATE,NAVY
11/17/2012,TEXAS TECH,OKLAHOMA STATE
11/17/2012,USC,UCLA
11/17/2012,UTAH STATE,LOUISIANA TECH
11/17/2012,UTEP,Southern Miss
11/17/2012,VIRGINIA TECH,BOSTON COLLEGE
11/17/2012,WAKE FOREST,NOTRE DAME
11/17/2012,WASHINGTON,COLORADO
11/17/2012,WASHINGTON STATE,ARIZONA STATE
11/17/2012,WESTERN CAROLINA,ALABAMA
11/17/2012,WESTERN KENTUCKY,Louisiana-Lafayette
11/17/2012,WOFFORD,SOUTH CAROLINA
11/17/2012,WYOMING,UNLV
11/20/2012,AKRON,TOLEDO
11/23/2012,ARIZONA STATE,ARIZONA
11/23/2012,BALL STATE,MIAMI OH
11/23/2012,BUFFALO,BOWLING GREEN
11/23/2012,CENTRAL MICHIGAN,MASSACHUSETTS
11/23/2012,LSU,ARKANSAS
11/23/2012,NEBRASKA,IOWA
11/23/2012,NORTHERN ILLINOIS,EASTERN MICHIGAN
11/23/2012,OHIO,KENT STATE
11/23/2012,SOUTH FLORIDA,CINCINNATI
11/23/2012,SYRACUSE,TEMPLE
11/23/2012,UTAH,COLORADO
11/23/2012,WASHINGTON,WASHINGTON STATE
11/24/2012,AIR FORCE,FRESNO STATE
11/24/2012,AUBURN,ALABAMA
11/24/2012,BOISE STATE,NEVADA
11/24/2012,BOSTON COLLEGE,NORTH CAROLINA STATE
11/24/2012,Brigham Young,NEW MEXICO STATE
11/24/2012,CONNECTICUT,LOUISVILLE
11/24/2012,FLORIDA,FLORIDA STATE
11/24/2012,GEORGIA TECH,GEORGIA
11/24/2012,IDAHO,UTAH STATE
11/24/2012,ILLINOIS,NORTHWESTERN
11/24/2012,INDIANA,PURDUE
11/24/2012,KENTUCKY,TENNESSEE
11/24/2012,LOUISIANA TECH,SAN JOSE STATE
11/24/2012,MARSHALL,EAST CAROLINA
11/24/2012,MARYLAND,NORTH CAROLINA
11/24/2012,MIAMI FL,DUKE
11/24/2012,MICHIGAN,OHIO STATE
11/24/2012,MICHIGAN STATE,MINNESOTA
11/24/2012,MISSISSIPPI STATE,Ole Miss
11/24/2012,MISSOURI,TEXAS A&M
11/24/2012,NEW MEXICO,COLORADO STATE
11/24/2012,NORTH TEXAS,WESTERN KENTUCKY
11/24/2012,NOTRE DAME,USC
11/24/2012,OKLAHOMA STATE,OKLAHOMA
11/24/2012,OREGON,OREGON STATE
11/24/2012,RICE,UTEP
11/24/2012,RUTGERS,PITTSBURGH
11/24/2012,SAN DIEGO STATE,WYOMING
11/24/2012,Southern Miss,MEMPHIS
11/24/2012,SOUTH ALABAMA,Louisiana-Lafayette
11/24/2012,SOUTH CAROLINA,CLEMSON
11/24/2012,STANFORD,UCLA
11/24/2012,TCU,TEXAS
11/24/2012,TEXAS STATE,TEXAS-SAN ANTONIO
11/24/2012,TEXAS TECH,BAYLOR
11/24/2012,TROY,Middle Tennessee
11/24/2012,TULANE,HOUSTON
11/24/2012,TULSA,Southern Methodist
11/24/2012,UAB,Central Florida
11/24/2012,Louisiana-Monroe,FLORIDA INTERNATIONAL
11/24/2012,UNLV,HAWAII
11/24/2012,VANDERBILT,WAKE FOREST
11/24/2012,VIRGINIA,VIRGINIA TECH
11/24/2012,WEST VIRGINIA,IOWA STATE
11/24/2012,WISCONSIN,PENN STATE
11/29/2012,LOUISVILLE,RUTGERS
12/1/2012,CINCINNATI,CONNECTICUT
12/1/2012,KANSAS,WEST VIRGINIA
12/1/2012,Middle Tennessee,ARKANSAS STATE
12/1/2012,NEW MEXICO STATE,TEXAS STATE
12/1/2012,OKLAHOMA,TCU
12/1/2012,OKLAHOMA STATE,BAYLOR
12/1/2012,PITTSBURGH,SOUTH FLORIDA
12/1/2012,SOUTH ALABAMA,HAWAII
12/1/2012,TEXAS,KANSAS STATE
12/1/2012,Louisiana-Lafayette,FLORIDA ATLANTIC
12/8/2012,NAVY,ARMY
